u: 0.6333938241004944, s: 0.002054293407127261, v: 0.2141466736793518
u: 0.8672081232070923, s: 0.0012538108276203275, v: 0.08618845045566559
u: 0.9250081181526184, s: 0.0011469321325421333, v: 0.07801567018032074
u: 0.8816037774085999, s: 0.00118819170165807, v: 0.07783918082714081
u: 0.7987596988677979, s: 0.0011302775237709284, v: 0.06963371485471725
u: 0.8052617311477661, s: 0.001166515750810504, v: 0.060785021632909775
u: 0.8748301267623901, s: 0.001237081945873797, v: 0.07651738822460175
u: 0.8921116590499878, s: 0.001229046960361302, v: 0.05614924430847168
u: 0.9132221937179565, s: 0.001251754118129611, v: 0.06902112066745758
u: 0.8803369998931885, s: 0.0013262167340144515, v: 0.0634441152215004
u: 0.7662379741668701, s: 0.0013585423585027456, v: 0.07776770740747452
u: 1.2337148189544678, s: 0.0014514391077682376, v: 0.050834909081459045
u: 0.931567907333374, s: 0.0015036561526358128, v: 0.040109165012836456
u: 0.7767408490180969, s: 0.001565357786603272, v: 0.0573430135846138
u: 0.9983088374137878, s: 0.0017300283070653677, v: 0.04824347048997879
u: 1.0415349006652832, s: 0.0016792730893939734, v: 0.02474476769566536
u: 1.0431039333343506, s: 0.001798250712454319, v: 0.026491422206163406
u: 0.794502854347229, s: 0.0018086567288264632, v: 0.030790232121944427
u: 0.823179304599762, s: 0.001734286081045866, v: 0.022668108344078064
u: 0.8091907501220703, s: 0.0016381476307287812, v: 0.029920628294348717
u: 0.8759333491325378, s: 0.0015991044929251075, v: 0.026777219027280807
u: 0.8871431946754456, s: 0.0014552976936101913, v: 0.03308248147368431
u: 0.8781187534332275, s: 0.0014881497481837869, v: 0.028644250705838203
u: 0.7751920223236084, s: 0.0013826594222337008, v: 0.02458745799958706
u: 0.7633016109466553, s: 0.0013801032910123467, v: 0.022976402193307877
u: 0.7622380256652832, s: 0.0013121666852384806, v: 0.01755254901945591
u: 0.8109830617904663, s: 0.0013387035578489304, v: 0.023522308096289635
u: 0.8594703674316406, s: 0.0013356123818084598, v: 0.03955709934234619
u: 0.742268979549408, s: 0.0012497658608481288, v: 0.02268020436167717
u: 0.6863973140716553, s: 0.0012548642698675394, v: 0.02290312573313713
u: 0.7196033596992493, s: 0.0013252001954242587, v: 0.0424300841987133
u: 0.7497196197509766, s: 0.0012488003121688962, v: 0.02205652743577957
u: 0.7194116115570068, s: 0.0012101560132578015, v: 0.018363967537879944
u: 0.6688106060028076, s: 0.0012604643125087023, v: 0.03454417362809181
u: 0.7029423117637634, s: 0.0012971271062269807, v: 0.04002300649881363
u: 0.708943247795105, s: 0.0012683053500950336, v: 0.022675586864352226
u: 0.7154275178909302, s: 0.0012703487882390618, v: 0.02467818558216095
u: 0.7136469483375549, s: 0.0013123579556122422, v: 0.0328015573322773
u: 0.6950007081031799, s: 0.00133978808298707, v: 0.033726345747709274
u: 0.7178639769554138, s: 0.0013086486142128706, v: 0.01889261230826378
u: 0.7547621130943298, s: 0.0013107920531183481, v: 0.02967962436378002
u: 0.8752865195274353, s: 0.0013454555300995708, v: 0.02364256978034973
u: 0.6678341627120972, s: 0.001380151603370905, v: 0.049839507788419724
u: 1.0177805423736572, s: 0.0013643677812069654, v: 0.027486808598041534
u: 0.8939454555511475, s: 0.0014089391333982348, v: 0.038789112120866776
u: 0.8136484622955322, s: 0.0013134389882907271, v: 0.024506106972694397
u: 0.9526710510253906, s: 0.0012802320998162031, v: 0.01992729678750038
u: 1.0515773296356201, s: 0.0013422747142612934, v: 0.026565024629235268
u: 0.9805753231048584, s: 0.0013339800061658025, v: 0.022093158215284348
u: 0.8877712488174438, s: 0.001262238365598023, v: 0.022778984159231186
u: 0.9037787318229675, s: 0.0012630271958187222, v: 0.016907691955566406
u: 0.9729133248329163, s: 0.001293474924750626, v: 0.02096620947122574
u: 1.0064719915390015, s: 0.0012898413697257638, v: 0.03501198813319206
u: 0.9535343647003174, s: 0.0012690400471910834, v: 0.029535997658967972
u: 0.893123209476471, s: 0.001242328085936606, v: 0.019728604704141617
u: 0.8662952184677124, s: 0.0012805574806407094, v: 0.0396386981010437
u: 0.8848894834518433, s: 0.0012717137578874826, v: 0.02254134602844715
u: 0.8933145999908447, s: 0.0012847546022385359, v: 0.021868400275707245
u: 0.8797959089279175, s: 0.0012699301587417722, v: 0.03857860341668129
u: 0.8438900113105774, s: 0.0012210001004859805, v: 0.023951362818479538
u: 0.7952179312705994, s: 0.0012635717866942286, v: 0.046303585171699524
u: 0.7914673686027527, s: 0.0012951018288731575, v: 0.02144954726099968
u: 0.7652738094329834, s: 0.0012889158679172397, v: 0.02001993916928768
u: 0.6328341364860535, s: 0.001321933465078473, v: 0.02885609120130539
u: 0.8700478076934814, s: 0.0013456088490784168, v: 0.023246537894010544
u: 0.5752490758895874, s: 0.0012844610027968884, v: 0.02178076282143593
u: 0.9282844066619873, s: 0.0012923175236210227, v: 0.021033156663179398
u: 0.6983305811882019, s: 0.001313167274929583, v: 0.018205469474196434
u: 0.6826303005218506, s: 0.001377392327412963, v: 0.033315569162368774
u: 0.9614914655685425, s: 0.0013597900979220867, v: 0.022053714841604233
u: 0.7316181659698486, s: 0.0013960456708446145, v: 0.035429492592811584
u: 0.8127651214599609, s: 0.001386634074151516, v: 0.02674861066043377
u: 1.0034599304199219, s: 0.0014078194508329034, v: 0.02991863712668419
u: 1.0126539468765259, s: 0.001378930057398975, v: 0.026574090123176575
u: 0.9232227802276611, s: 0.0014257391449064016, v: 0.042552754282951355
u: 0.889855146408081, s: 0.0013469263212755322, v: 0.023072097450494766
u: 0.9728748798370361, s: 0.0014009254518896341, v: 0.029447071254253387
u: 1.0919699668884277, s: 0.0013148734578862786, v: 0.019463185220956802
u: 1.0797488689422607, s: 0.0013049666304141283, v: 0.017744380980730057
u: 0.9864152073860168, s: 0.001360047492198646, v: 0.024843504652380943
u: 0.8755480647087097, s: 0.0013386294012889266, v: 0.025971317663788795
u: 0.8556516170501709, s: 0.0013045156374573708, v: 0.01924937590956688
u: 0.8828596472740173, s: 0.0013282615691423416, v: 0.02800973504781723
u: 0.907049834728241, s: 0.0013119124341756105, v: 0.03269665688276291
u: 0.9573919773101807, s: 0.0012999725295230746, v: 0.01824723184108734
u: 0.9329910278320312, s: 0.001281036646105349, v: 0.019296102225780487
u: 0.8489739298820496, s: 0.0013019972248002887, v: 0.02455882728099823
u: 0.7768691182136536, s: 0.0013126378180459142, v: 0.02453066222369671
u: 0.8063901662826538, s: 0.0012792728375643492, v: 0.018154121935367584
u: 0.8570923209190369, s: 0.0012737094657495618, v: 0.024212829768657684
u: 0.8492297530174255, s: 0.001281876815482974, v: 0.02146916463971138
u: 0.7920815944671631, s: 0.0012836583191528916, v: 0.021873336285352707
u: 0.7219345569610596, s: 0.0013449981343001127, v: 0.022511733695864677
u: 0.7413625717163086, s: 0.0013258332619443536, v: 0.026460591703653336
u: 0.7868712544441223, s: 0.0012863336596637964, v: 0.0243496336042881
u: 0.7575291395187378, s: 0.0013258643448352814, v: 0.03092196211218834
u: 0.676238477230072, s: 0.0013142635580152273, v: 0.0181586816906929
u: 0.7320077419281006, s: 0.0013374959817156196, v: 0.02868048846721649
u: 0.7462981939315796, s: 0.0013344166800379753, v: 0.01964840665459633
u: 0.6571734547615051, s: 0.001378590357489884, v: 0.027476681396365166
u: 0.7047694325447083, s: 0.0013101567747071385, v: 0.01859397441148758
u: 0.7522323131561279, s: 0.001345124444924295, v: 0.02229974791407585
u: 0.6798684597015381, s: 0.0013223037822172046, v: 0.021854868158698082
u: 0.7791092991828918, s: 0.0013975504552945495, v: 0.02982446551322937
u: 0.7960039973258972, s: 0.0013764502946287394, v: 0.025304332375526428
u: 0.7611662745475769, s: 0.0013632971094921231, v: 0.017445048317313194
u: 0.79575514793396, s: 0.001387589960359037, v: 0.023098774254322052
u: 0.8365740776062012, s: 0.0013813241384923458, v: 0.019720179960131645
u: 0.7922961115837097, s: 0.0013632969930768013, v: 0.0212886780500412
u: 0.828815221786499, s: 0.0013716028770431876, v: 0.019548114389181137
u: 0.8474971055984497, s: 0.0014145630411803722, v: 0.02760114148259163
u: 0.822573184967041, s: 0.0013794198166579008, v: 0.01885577291250229
u: 0.8638140559196472, s: 0.0013641362311318517, v: 0.01978878676891327
u: 0.8360176086425781, s: 0.0013298125704750419, v: 0.0167309008538723
u: 0.816660463809967, s: 0.0013535248581320047, v: 0.02443252131342888
u: 0.8731108903884888, s: 0.0013703955337405205, v: 0.021831165999174118
u: 0.7826765179634094, s: 0.0014114166842773557, v: 0.023505691438913345
u: 0.8818117380142212, s: 0.0013948444975540042, v: 0.023211540654301643
u: 0.7766039967536926, s: 0.0013776830164715648, v: 0.023801054805517197
u: 0.8489072322845459, s: 0.0013723996235057712, v: 0.02366497740149498
u: 0.7132575511932373, s: 0.0013762300368398428, v: 0.015764746814966202
u: 0.8098787665367126, s: 0.001436131540685892, v: 0.02074134349822998
u: 0.6374642848968506, s: 0.0014210062799975276, v: 0.02417878806591034
u: 0.9292774200439453, s: 0.0013979095965623856, v: 0.022162891924381256
u: 0.6357368230819702, s: 0.0013623691629618406, v: 0.03063812106847763
u: 0.9057691097259521, s: 0.0014209025539457798, v: 0.036135539412498474
u: 0.8993514180183411, s: 0.001397745800204575, v: 0.028534121811389923
u: 0.713049054145813, s: 0.00140784727409482, v: 0.023476824164390564
u: 0.9655886888504028, s: 0.0013993370812386274, v: 0.025629514828324318
u: 0.9249377846717834, s: 0.0014819896314293146, v: 0.03703174740076065
u: 0.7565809488296509, s: 0.0014502359554171562, v: 0.024627752602100372
u: 1.031003475189209, s: 0.001455973950214684, v: 0.05801944434642792
u: 0.6259951591491699, s: 0.0014414495090022683, v: 0.030123630538582802
u: 1.2956292629241943, s: 0.0016271487111225724, v: 0.05028620734810829
u: 0.820711612701416, s: 0.0015578900929540396, v: 0.03126104548573494
u: 1.2951607704162598, s: 0.001553516136482358, v: 0.03810334950685501
u: 0.8686668276786804, s: 0.0016468965914100409, v: 0.02813713625073433
u: 0.9177938103675842, s: 0.0017302172491326928, v: 0.030104488134384155
u: 0.97090744972229, s: 0.0018059809226542711, v: 0.034428663551807404
u: 0.6733366847038269, s: 0.0018136409344151616, v: 0.020634684711694717
u: 0.7403470873832703, s: 0.001877794275060296, v: 0.021103017032146454
u: 0.9182326197624207, s: 0.0019088274566456676, v: 0.025149742141366005
u: 0.9203713536262512, s: 0.0018772121984511614, v: 0.03316630423069
u: 0.8618680238723755, s: 0.0019436497241258621, v: 0.018025986850261688
u: 0.8396386504173279, s: 0.0020336988382041454, v: 0.02715848758816719
u: 0.9178909659385681, s: 0.0019060740014538169, v: 0.020047957077622414
u: 1.007585048675537, s: 0.0018740043742582202, v: 0.057492807507514954
u: 0.9461430311203003, s: 0.0018840970005840063, v: 0.02051348052918911
u: 0.9041669368743896, s: 0.0019862225744873285, v: 0.021056432276964188
u: 0.8787654042243958, s: 0.0018661910435184836, v: 0.02080420032143593
u: 0.8461064696311951, s: 0.0018730704905465245, v: 0.04926012456417084
u: 0.8470237851142883, s: 0.001906697521917522, v: 0.02049735002219677
u: 0.8049643039703369, s: 0.0019444029312580824, v: 0.022451575845479965
u: 0.9049584865570068, s: 0.0019109006971120834, v: 0.02050473727285862
u: 0.9162838459014893, s: 0.001902959542348981, v: 0.03553072363138199
u: 1.0219372510910034, s: 0.001951873768121004, v: 0.02087504044175148
u: 1.0380922555923462, s: 0.001955689862370491, v: 0.022873545065522194
u: 1.0576776266098022, s: 0.001971120247617364, v: 0.0238480344414711
u: 1.1304336786270142, s: 0.002005367074161768, v: 0.01571972668170929
u: 1.119490146636963, s: 0.0020746628288179636, v: 0.024699077010154724
u: 1.1515631675720215, s: 0.0019961923826485872, v: 0.021618712693452835
u: 1.1905215978622437, s: 0.002023572800680995, v: 0.026882229372859
u: 0.9041945338249207, s: 0.00204309425316751, v: 0.027480600401759148
u: 0.8909375667572021, s: 0.00224434700794518, v: 0.04518527165055275
u: 0.8198819756507874, s: 0.0020475166384130716, v: 0.035369306802749634
u: 0.5793282389640808, s: 0.0020382863003760576, v: 0.029780087992548943
u: 0.7854750752449036, s: 0.0020022441167384386, v: 0.024819549173116684
u: 1.2499796152114868, s: 0.0019413778791204095, v: 0.02245096117258072
u: 1.4871459007263184, s: 0.002023037290200591, v: 0.025182198733091354
u: 1.2544963359832764, s: 0.002055893884971738, v: 0.043575115501880646
u: 0.9612839221954346, s: 0.001999788684770465, v: 0.02267589047551155
u: 0.7858355045318604, s: 0.002091755857691169, v: 0.01973137818276882
u: 0.8076660633087158, s: 0.002039927989244461, v: 0.025050979107618332
u: 1.0084234476089478, s: 0.001909645739942789, v: 0.026563182473182678
u: 1.3976105451583862, s: 0.0019060148624703288, v: 0.035206831991672516
u: 1.5828505754470825, s: 0.0018529195804148912, v: 0.02418447658419609
u: 1.1689715385437012, s: 0.001815417199395597, v: 0.02831709198653698
u: 0.6982921957969666, s: 0.001856443821452558, v: 0.02021414041519165
u: 0.792578935623169, s: 0.0018956547137349844, v: 0.028628507629036903
u: 1.3738714456558228, s: 0.0019328256603330374, v: 0.02350165694952011
u: 0.8473968505859375, s: 0.0019831648096442223, v: 0.022336121648550034
u: 0.8512293696403503, s: 0.0021069208160042763, v: 0.020169351249933243
u: 1.2637763023376465, s: 0.0020846975967288017, v: 0.023463189601898193
u: 1.0059196949005127, s: 0.002105506369844079, v: 0.015073910355567932
u: 0.6982225179672241, s: 0.002191794104874134, v: 0.022329159080982208
u: 0.9484953284263611, s: 0.002348250010982156, v: 0.03154972940683365
u: 0.8342775702476501, s: 0.0022044002544134855, v: 0.040431343019008636
u: 1.026530146598816, s: 0.0022241559345275164, v: 0.017562640830874443
u: 0.9664948582649231, s: 0.002261144807562232, v: 0.03322809189558029
u: 0.919856071472168, s: 0.002393814967945218, v: 0.02390817180275917
u: 0.9593691229820251, s: 0.0022358533460646868, v: 0.039407745003700256
u: 1.0341417789459229, s: 0.0021872674115002155, v: 0.02375474013388157
u: 1.0378483533859253, s: 0.002193909604102373, v: 0.0237901471555233
u: 0.9692506790161133, s: 0.002176657086238265, v: 0.022171981632709503
u: 0.9481961727142334, s: 0.002097920747473836, v: 0.03697533160448074
u: 0.9075520634651184, s: 0.002009140094742179, v: 0.03398067131638527
u: 0.9577116370201111, s: 0.0019038106547668576, v: 0.018924828618764877
u: 1.014434814453125, s: 0.0019328519701957703, v: 0.037632543593645096
u: 1.0043970346450806, s: 0.0018321431707590818, v: 0.017022978514432907
u: 0.9181492924690247, s: 0.0018882761942222714, v: 0.027384834364056587
u: 0.9644915461540222, s: 0.0018902008887380362, v: 0.019749142229557037
u: 1.1225866079330444, s: 0.0018373611383140087, v: 0.021099284291267395
u: 0.965022623538971, s: 0.0019384205807000399, v: 0.04206640273332596
u: 1.0631816387176514, s: 0.00191548652946949, v: 0.03154038265347481
u: 0.8876829743385315, s: 0.0020150209311395884, v: 0.02172679454088211
u: 1.4390496015548706, s: 0.002067074179649353, v: 0.020625649020075798
u: 0.7306943535804749, s: 0.0020515730138868093, v: 0.029324136674404144
u: 2.032604217529297, s: 0.002172884065657854, v: 0.021631546318531036
u: 0.5803549885749817, s: 0.0024467960465699434, v: 0.01961912028491497
u: 0.25333794951438904, s: 0.00231774989515543, v: 0.023682646453380585
u: 1.098409652709961, s: 0.0020557825919240713, v: 0.023201385512948036
u: 1.4742836952209473, s: 0.0021106090862303972, v: 0.02646968513727188
u: 1.2290594577789307, s: 0.0020294676069170237, v: 0.02581923082470894
u: 1.0550684928894043, s: 0.001953356433659792, v: 0.016522418707609177
u: 1.2949175834655762, s: 0.001880669267848134, v: 0.018341394141316414
u: 1.4077447652816772, s: 0.0018468501511961222, v: 0.03077361360192299
u: 1.4899346828460693, s: 0.0018067507771775126, v: 0.018383998423814774
u: 1.2706788778305054, s: 0.001833633054047823, v: 0.020418506115674973
u: 1.0192521810531616, s: 0.0018363755661994219, v: 0.0239618718624115
u: 0.9805033206939697, s: 0.0017574162920936942, v: 0.015995178371667862
u: 0.9316745400428772, s: 0.0016913142753764987, v: 0.02582121640443802
u: 0.8837507367134094, s: 0.0017505601281300187, v: 0.02903643250465393
u: 1.325333595275879, s: 0.0016542453086003661, v: 0.027447659522294998
u: 1.3317629098892212, s: 0.0015930779045447707, v: 0.018502146005630493
u: 1.057543396949768, s: 0.001621280680410564, v: 0.019650882109999657
u: 1.0086404085159302, s: 0.0016457152087241411, v: 0.016537845134735107
u: 0.9385502338409424, s: 0.0015914911637082696, v: 0.0265444777905941
u: 0.8613678216934204, s: 0.0015945399645715952, v: 0.022551950067281723
u: 1.1156105995178223, s: 0.0015683963429182768, v: 0.03636140376329422
u: 1.2408692836761475, s: 0.0015949485823512077, v: 0.01879570260643959
u: 1.3039780855178833, s: 0.0015580749604851007, v: 0.020647931843996048
u: 1.2486776113510132, s: 0.0015998451272025704, v: 0.027318915352225304
u: 0.7971067428588867, s: 0.001572578912600875, v: 0.019594337791204453
u: 0.7711426615715027, s: 0.0016381429741159081, v: 0.02759021520614624
u: 1.0622925758361816, s: 0.001559944124892354, v: 0.042200155556201935
u: 1.2881897687911987, s: 0.0015703968238085508, v: 0.018463822081685066
u: 0.9697266817092896, s: 0.0017408281564712524, v: 0.017262104898691177
u: 0.7646939754486084, s: 0.0016445297515019774, v: 0.021851496770977974
u: 0.8885651230812073, s: 0.0016145632835105062, v: 0.02968967705965042
u: 0.772064745426178, s: 0.001520176650956273, v: 0.017722273245453835
u: 0.8321911692619324, s: 0.0015229996060952544, v: 0.02515503019094467
u: 0.8787471652030945, s: 0.0016504233935847878, v: 0.034230705350637436
u: 1.1547982692718506, s: 0.0015661362558603287, v: 0.020310092717409134
u: 1.1982530355453491, s: 0.0016765390755608678, v: 0.024604417383670807
u: 1.1205992698669434, s: 0.0015147959347814322, v: 0.02597123757004738
u: 1.0163073539733887, s: 0.0015752839390188456, v: 0.023096157237887383
u: 0.9713475704193115, s: 0.0015431552892550826, v: 0.026169519871473312
u: 0.8512265086174011, s: 0.0016390001401305199, v: 0.031159434467554092
u: 0.9562106728553772, s: 0.0015681774821132421, v: 0.03721505403518677
u: 0.9629843235015869, s: 0.001603575306944549, v: 0.022925563156604767
u: 0.9256030321121216, s: 0.0016792173264548182, v: 0.020775172859430313
u: 0.6935343146324158, s: 0.001566157559864223, v: 0.027477668598294258
u: 0.7542195916175842, s: 0.001611790619790554, v: 0.017273493111133575
u: 0.8173255920410156, s: 0.0016460780752822757, v: 0.02455180510878563
u: 0.8699452877044678, s: 0.001501359511166811, v: 0.016735529527068138
u: 0.9229758381843567, s: 0.0014929481549188495, v: 0.014676032587885857
u: 0.9065282344818115, s: 0.001560330973006785, v: 0.025533199310302734
u: 0.9524196982383728, s: 0.0016171796014532447, v: 0.019103117287158966
u: 1.011587381362915, s: 0.0015755916247144341, v: 0.02083435282111168
u: 1.0349853038787842, s: 0.0015685873804613948, v: 0.019056562334299088
u: 0.9980729222297668, s: 0.0016434971475973725, v: 0.022312378510832787
u: 0.9356370568275452, s: 0.0015492524253204465, v: 0.019491326063871384
u: 1.0285379886627197, s: 0.0015558216255158186, v: 0.028666704893112183
u: 0.8462551236152649, s: 0.0015985188074409962, v: 0.019189845770597458
u: 0.7732930779457092, s: 0.0016148238210007548, v: 0.028600841760635376
u: 0.8672311305999756, s: 0.0015269828727468848, v: 0.02688152901828289
u: 1.160056710243225, s: 0.0017179899150505662, v: 0.020312713459134102
u: 1.2828631401062012, s: 0.0015914547257125378, v: 0.02109351195394993
u: 1.3102858066558838, s: 0.001572862733155489, v: 0.028106238692998886
u: 1.1455683708190918, s: 0.0016429114621132612, v: 0.029432019218802452
u: 1.415156602859497, s: 0.001608432736247778, v: 0.01669265888631344
u: 1.5243394374847412, s: 0.0020435862243175507, v: 0.038420889526605606
u: 1.2579947710037231, s: 0.0018183166394010186, v: 0.016799168661236763
u: 1.035921573638916, s: 0.0017538031097501516, v: 0.029421057552099228
u: 1.1149550676345825, s: 0.001959261018782854, v: 0.0219620019197464
u: 0.9465922117233276, s: 0.001972793834283948, v: 0.02052716538310051
u: 0.9886296391487122, s: 0.0017734565772116184, v: 0.026372822001576424
u: 0.9410656690597534, s: 0.001729742856696248, v: 0.019766902551054955
u: 1.202896237373352, s: 0.0018756110221147537, v: 0.03802754729986191
u: 1.4249604940414429, s: 0.0017233247635886073, v: 0.05930766463279724
u: 1.6457955837249756, s: 0.0017732118722051382, v: 0.01745222695171833
u: 1.4844374656677246, s: 0.0019244625000283122, v: 0.023666057735681534
u: 1.1608144044876099, s: 0.0017034292686730623, v: 0.01844947785139084
u: 0.8957123160362244, s: 0.0017749571707099676, v: 0.024557463824748993
u: 0.7084816098213196, s: 0.0017808683915063739, v: 0.024473782628774643
u: 0.7259609699249268, s: 0.0017252392135560513, v: 0.020367532968521118
u: 1.0045057535171509, s: 0.0015950797824189067, v: 0.017790883779525757
u: 1.2865458726882935, s: 0.0015749598387628794, v: 0.015363415703177452
u: 1.4837912321090698, s: 0.0016573341563344002, v: 0.026813188567757607
u: 1.48842453956604, s: 0.0016643929993733764, v: 0.020583216100931168
u: 1.402527928352356, s: 0.0015968115767464042, v: 0.018179314211010933
u: 1.1937068700790405, s: 0.0015813212376087904, v: 0.017397791147232056
u: 0.869530439376831, s: 0.0015424188459292054, v: 0.019515562802553177
u: 0.992369532585144, s: 0.0015926760388538241, v: 0.026892047375440598
u: 1.1135872602462769, s: 0.001594733796082437, v: 0.021951381117105484
u: 1.1145838499069214, s: 0.0015613769646734, v: 0.0245150588452816
u: 0.9758707880973816, s: 0.0015964268241077662, v: 0.024198811501264572
u: 0.8541812896728516, s: 0.0015359291573986411, v: 0.020392078906297684
u: 0.8305513858795166, s: 0.0015219462802633643, v: 0.02032068371772766
u: 0.9005107879638672, s: 0.0015174823347479105, v: 0.01947009563446045
u: 1.0590656995773315, s: 0.0015350920148193836, v: 0.016675904393196106
u: 1.3534417152404785, s: 0.0016187999863177538, v: 0.01662292331457138
u: 1.5066059827804565, s: 0.0017003666143864393, v: 0.022716905921697617
u: 1.4175431728363037, s: 0.0016286303289234638, v: 0.018091915175318718
u: 1.1759486198425293, s: 0.0015942779136821628, v: 0.03382256627082825
u: 1.135108470916748, s: 0.0016415573190897703, v: 0.024789568036794662
u: 1.0155495405197144, s: 0.0018564312485978007, v: 0.02595076709985733
u: 0.8301314115524292, s: 0.0016555447364225984, v: 0.018787771463394165
u: 0.7889859676361084, s: 0.0015475592808797956, v: 0.02958812192082405
u: 0.6954924464225769, s: 0.0015105383936315775, v: 0.018341923132538795
u: 0.5453688502311707, s: 0.0016497502801939845, v: 0.023024901747703552
u: 1.4328351020812988, s: 0.0016648900927975774, v: 0.030817512422800064
u: 2.112318754196167, s: 0.0015295026823878288, v: 0.018969494849443436
u: 1.4320095777511597, s: 0.0017638857243582606, v: 0.02283412218093872
u: 0.8373150825500488, s: 0.0017841564258560538, v: 0.036147307604551315
u: 1.2360234260559082, s: 0.0015817891107872128, v: 0.023578690364956856
u: 1.6148556470870972, s: 0.001777791534550488, v: 0.026883697137236595
u: 1.520720362663269, s: 0.0018547942163422704, v: 0.01793672703206539
u: 1.3173898458480835, s: 0.0018122977344319224, v: 0.029337026178836823
u: 1.1309348344802856, s: 0.0016634931089356542, v: 0.020693596452474594
u: 0.9951122999191284, s: 0.001650662044994533, v: 0.022262170910835266
u: 0.8791091442108154, s: 0.0017783520743250847, v: 0.025142457336187363
u: 0.8183307647705078, s: 0.0017185984179377556, v: 0.019358422607183456
u: 0.7944191694259644, s: 0.001606000936590135, v: 0.016140345484018326
u: 0.8204436302185059, s: 0.0016046956880018115, v: 0.033848296850919724
u: 0.8631246089935303, s: 0.0015650818822905421, v: 0.018527433276176453
u: 0.915526270866394, s: 0.0016494537703692913, v: 0.025580426678061485
u: 1.0181758403778076, s: 0.0015226067043840885, v: 0.018205005675554276
u: 1.1226387023925781, s: 0.001573149231262505, v: 0.02060522511601448
u: 1.1554627418518066, s: 0.001557677984237671, v: 0.01597576215863228
u: 1.1480680704116821, s: 0.0015377473318949342, v: 0.01772037148475647
u: 1.1571128368377686, s: 0.0015778082888573408, v: 0.018970543518662453
u: 1.1537714004516602, s: 0.0014880147064104676, v: 0.02705502137541771
u: 1.1711010932922363, s: 0.0015889554051682353, v: 0.024958420544862747
u: 1.1274954080581665, s: 0.0015715748304501176, v: 0.026082195341587067
u: 1.0178650617599487, s: 0.001501513528637588, v: 0.017910655587911606
u: 0.9441070556640625, s: 0.0016340705333277583, v: 0.023220838978886604
u: 0.9187049865722656, s: 0.001553768408484757, v: 0.025607019662857056
u: 0.9608908891677856, s: 0.0014875208726152778, v: 0.019592799246311188
u: 0.9606299996376038, s: 0.0015075705014169216, v: 0.01532844826579094
u: 0.9591464996337891, s: 0.0015021988656371832, v: 0.02067396230995655
u: 0.9464947581291199, s: 0.0014829749707132578, v: 0.0384623259305954
u: 1.0412319898605347, s: 0.0014633014798164368, v: 0.015955543145537376
u: 1.1095871925354004, s: 0.001550032990053296, v: 0.021341297775506973
u: 1.1038894653320312, s: 0.001484277774579823, v: 0.020547986030578613
u: 1.0778355598449707, s: 0.0015321386745199561, v: 0.024702593684196472
u: 1.1376252174377441, s: 0.001516005489975214, v: 0.017798662185668945
u: 1.2074859142303467, s: 0.0015055065741762519, v: 0.020379453897476196
u: 1.1830058097839355, s: 0.0014817094197496772, v: 0.028251491487026215
u: 1.108884334564209, s: 0.0015235329046845436, v: 0.022440943866968155
u: 1.0449445247650146, s: 0.0015713812317699194, v: 0.0232771597802639
u: 0.9504029750823975, s: 0.0015205307863652706, v: 0.019755162298679352
u: 0.8960123062133789, s: 0.0015283258398994803, v: 0.018039345741271973
u: 0.8694868087768555, s: 0.001543613150715828, v: 0.021741412580013275
